trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 1, 'e': 0.48767497911552954}",25,10,0.8746541042102876,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 1, 'e': 0.46329123015975304}",35,6,-142.5054842046069,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 2}",1
16,False,"{'a': 1, 'e': 0.44012666865176536}",25,0,-50.69354370258253,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 1, 'e': 0.4181203352191771}",30,0,-80.10668639784559,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 1, 'e': 0.3972143184582182}",20,2,-116.02046933251172,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 2}",1
19,False,"{'a': 1, 'e': 0.37735360253530725}",20,6,-43.88670862561974,"{0: 9, 1: 4, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 1, 'e': 0.3584859224085419}",20,7,-28.547301835605584,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 1, 'e': 0.3405616262881148}",25,8,-77.10739006102702,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 2}",1
22,False,"{'a': 1, 'e': 0.323533544973709}",20,6,-20.81034121033312,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
23,False,"{'a': 1, 'e': 0.3073568677250236}",30,13,15.262857184517165,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 1, 'e': 0.2919890243387724}",30,16,-84.73039345935592,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
25,False,"{'a': 1, 'e': 0.27738957312183377}",35,21,-1.7208936547271994,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 1, 'e': 0.26352009446574204}",25,12,10.19444195379165,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 1, 'e': 0.2503440897424549}",25,9,-51.407438789570946,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
